type,priority,category,issue,enterpriseTier,flag,weekday,week,periods,previousDepartmentID,newDepartmentID,difference
3,1,1,0,0,0,1,3,1,46,36,665
3,1,1,0,0,0,1,3,2,36,9,7021
3,1,1,0,0,0,2,3,2,9,47,4335
3,1,1,0,0,0,2,3,1,47,36,395
3,1,1,0,0,0,2,3,1,36,47,4198
3,1,1,0,0,0,2,3,1,47,36,61086
3,1,9,7,0,0,3,1,1,9,47,14161
3,1,9,7,0,0,3,1,2,47,9,1869
3,1,9,7,0,0,3,1,1,9,47,1760
3,1,9,7,0,0,3,1,1,47,36,147442
1,2,3,15,0,0,3,1,1,171,12,7040
1,2,1,0,0,0,3,1,1,171,9,1536
3,2,0,0,0,1,3,1,2,9,36,76775
1,2,0,16,0,0,3,1,2,47,33,174
1,2,0,16,0,0,3,1,1,33,47,80795
1,2,0,16,0,0,4,1,2,47,33,137
1,2,0,16,0,0,4,1,2,33,47,8391
1,2,0,16,0,0,4,1,1,47,33,58777
1,2,3,0,0,0,3,1,1,171,48,3497
1,1,1,16,0,0,3,1,1,171,47,944
1,1,9,0,0,0,2,2,1,9,36,1242
1,1,9,0,0,0,2,2,1,46,9,15568
1,1,9,0,0,0,2,2,1,9,47,401
1,1,9,0,0,0,2,2,1,47,9,71961
1,1,9,0,0,0,3,2,2,47,9,86972
1,1,9,0,0,0,2,5,1,9,33,354
1,1,9,0,0,0,2,5,1,33,9,194149
1,1,9,0,0,0,4,8,2,9,33,10159
1,1,9,0,0,0,4,8,3,33,9,339266
1,1,9,0,0,0,5,10,2,9,33,1433
1,1,9,0,0,0,5,10,2,33,9,7723
1,3,3,0,0,0,3,1,1,171,12,684138
3,2,1,0,0,1,3,1,2,9,36,73700
3,2,1,0,0,1,4,1,1,46,9,1695
3,2,1,0,0,1,5,1,1,1,9,1727
3,2,1,0,0,1,5,1,2,1,47,718
3,2,1,0,0,1,5,1,1,47,9,733
3,2,1,0,0,1,5,1,1,9,47,241151
3,2,1,0,0,1,1,2,1,47,9,1228
3,2,1,0,0,1,1,2,2,1,9,4241
3,2,1,0,0,1,1,2,2,9,36,2651
3,2,0,8,0,1,5,5,1,171,36,271077
3,2,0,8,0,1,1,6,1,36,9,71941
3,2,0,8,0,1,4,6,2,9,36,987
1,2,0,16,1,0,3,1,2,47,45,6884
1,2,0,16,1,0,3,1,1,45,33,425
1,2,0,16,1,0,5,1,1,33,45,2591
1,2,0,16,1,0,5,1,1,45,33,2575
1,1,1,7,0,1,3,1,3,171,9,49772
1,3,0,0,0,1,3,1,2,171,48,1347
1,3,0,0,0,1,3,1,2,48,141,2064
1,2,0,16,1,0,3,1,2,47,33,647
1,2,0,16,1,0,5,1,1,33,47,12255
1,2,0,16,1,0,5,1,2,47,33,1175
1,4,8,0,0,0,3,1,2,171,48,763
1,0,3,0,0,0,3,1,1,9,12,69195
1,0,3,0,0,0,4,1,1,12,9,439817
1,2,8,16,0,1,3,1,2,171,12,6700
1,1,1,0,0,0,5,2,1,171,36,18991
1,2,0,16,0,0,3,1,1,47,45,69820
1,2,0,16,0,0,4,1,1,45,33,806
1,2,0,16,0,0,4,1,1,33,45,3004
1,2,0,16,0,0,4,1,2,45,33,340018
1,2,0,16,0,0,1,2,1,33,45,765
1,2,0,16,0,0,1,2,1,45,33,1023
1,2,0,16,0,0,1,2,1,33,9,739
1,2,0,8,0,0,4,1,3,171,9,5830
1,2,0,8,0,0,4,1,2,171,9,8574
1,2,0,16,0,0,4,1,2,47,33,350510
1,2,0,16,0,0,1,2,2,33,9,865
1,2,0,16,0,0,2,2,1,9,33,237926
1,2,0,16,0,0,5,2,1,33,47,6883
1,2,0,16,0,0,4,1,1,47,33,686411
1,2,0,16,0,0,2,3,1,33,47,1875
1,2,3,0,1,0,2,2,3,141,9,632
1,2,3,0,1,0,2,2,3,9,141,65362
1,2,3,0,1,0,3,2,1,141,9,77565
1,2,3,0,1,0,3,2,2,9,141,1648
1,2,3,0,1,0,4,2,1,141,9,886
1,2,1,8,0,1,3,1,1,171,9,2629
1,2,0,16,0,0,1,2,1,47,33,690609
1,2,0,16,0,0,3,3,2,33,47,2114
1,2,0,16,0,0,3,1,1,47,45,3610
1,2,0,16,0,0,3,1,1,45,33,607
1,2,0,16,0,0,4,1,1,33,45,70244
1,2,0,16,0,0,5,1,1,45,33,2148
1,1,9,8,0,0,6,1,3,171,9,137273
3,2,1,0,0,1,5,1,1,171,36,336594
3,2,1,0,0,1,2,2,3,36,9,1380
3,2,1,0,0,1,2,2,1,9,36,1124
1,2,1,8,0,0,3,1,1,171,9,88778
1,2,3,0,1,0,3,1,1,171,12,1277842
1,2,3,9,1,1,3,1,3,171,48,51884
1,2,3,9,1,1,4,1,3,48,141,32334
1,2,3,11,1,1,5,1,2,48,141,6515
1,2,0,16,0,0,3,1,1,47,45,3254
1,2,0,16,0,0,3,1,1,45,33,75017
1,2,0,16,0,0,4,1,1,33,45,66050
1,2,0,16,0,0,5,1,1,45,33,7867
1,2,0,16,0,0,5,1,1,33,45,2781
1,2,0,16,0,0,5,1,2,45,33,247886
1,2,0,16,0,0,4,1,1,47,33,322007
1,2,0,16,0,0,5,1,1,33,47,11112
1,2,0,16,0,0,5,1,2,47,33,240301
1,2,0,16,0,0,3,2,1,33,47,1738
1,2,0,16,0,0,3,2,1,47,33,59744
1,2,0,16,0,0,4,2,1,33,47,9164
1,2,0,16,0,0,4,2,2,47,33,86554
1,2,0,16,1,0,3,1,1,47,45,4383
1,2,0,16,1,0,3,1,3,45,33,56810
1,2,0,16,1,0,1,2,1,33,45,475
1,2,0,16,1,0,1,2,1,45,33,7070
1,2,0,16,1,0,3,1,1,47,45,61743
1,2,0,16,1,0,4,1,1,45,33,287
1,2,0,16,1,0,1,2,1,33,45,564
1,2,0,16,1,0,1,2,1,45,33,5909
1,2,0,16,0,0,4,1,2,47,33,4344
1,2,0,16,0,0,4,1,1,33,47,1729
1,2,0,16,0,0,4,1,1,47,33,2654
1,2,0,16,0,0,4,3,1,33,47,1147
1,2,0,16,0,0,4,3,1,47,33,71159
3,1,9,7,0,1,4,1,1,9,36,4860
1,2,0,16,0,0,4,1,2,47,33,5253
1,2,0,16,0,0,4,1,1,33,47,3633
1,2,0,16,0,0,4,1,1,47,33,63719
3,2,0,7,0,1,4,1,2,9,36,4759
1,1,9,0,0,0,4,1,1,46,9,9862
1,1,9,0,0,0,4,1,1,9,47,139
1,1,9,0,0,0,4,1,1,47,9,2102
1,1,9,0,0,0,2,2,1,9,47,2265
1,1,9,0,0,0,2,2,1,47,9,25738
1,1,3,8,1,0,4,1,3,171,68,17882
3,1,3,7,0,1,4,1,3,171,9,2108
3,1,3,7,0,1,4,1,1,171,9,1801
3,1,3,7,0,1,5,4,2,9,36,3112
1,3,1,13,0,0,5,1,1,171,141,858564
1,2,0,16,0,0,2,2,1,9,33,56702
1,2,0,16,0,0,3,2,3,33,9,9833
1,2,0,16,0,0,3,2,1,9,33,6419
1,2,0,16,0,0,4,2,1,33,9,418162
1,2,0,16,0,0,2,3,2,9,33,3993
1,2,0,16,0,0,2,3,2,33,9,2170
1,2,0,16,0,0,4,3,2,9,33,3748
1,2,3,0,0,0,4,1,1,171,48,21331
1,1,9,6,0,0,4,1,1,9,62,2480
1,2,3,16,0,0,1,3,3,171,9,3043
1,2,3,16,0,0,1,3,1,171,9,4779
1,2,3,16,0,0,1,3,1,9,19,1265
1,2,3,16,0,0,1,3,1,19,9,3294
1,2,0,0,0,0,0,1,3,171,9,77204
1,2,0,0,0,0,4,3,1,171,9,109225
1,1,1,0,0,0,4,1,2,171,9,3861
1,4,3,7,0,1,4,1,2,171,48,1062
1,0,1,0,0,0,4,1,1,171,48,502
1,1,1,0,0,0,4,1,2,171,48,76228
1,1,1,0,0,0,5,1,1,48,141,2872119
1,1,1,0,0,0,2,4,1,141,48,523225
1,1,1,0,0,0,1,5,2,48,141,790116
1,1,1,0,0,0,3,6,1,141,48,1840
3,1,9,0,0,1,4,1,1,9,36,415156
1,2,3,12,0,0,4,1,2,171,48,1583
